        1000    0.161421
        4000     0.72048
        7000     1.05262
       10000     1.82287
       13000     2.48594
       16000      2.9677
       19000     3.14847
       22000     4.07641
       25000     3.96007
       28000     4.80271
       31000     5.86679
       34000     5.66786
       37000     6.26241
       40000     6.81885
       43000     7.16782
       46000     7.76898
       49000     8.54705
       52000     9.20688
       55000     9.42147
       58000     9.85248
       61000     10.2671
       64000     10.7365
       67000     12.3041
       70000     11.9005
       73000     12.6525
       76000     12.9776
       79000     13.6319
       82000     14.0679
       85000     14.9787
       88000     15.2174
       91000     16.5118
       94000     16.9625
       97000     18.3419
